workload,mem_limit,cycles,instructions,page-faults,LLC-misses,context-switches,L1-dcache-misses
disk_io,128,23501782249.0,17364923472.0,2261140.0,5733067.0,196.0,25565031.0
disk_io,128,23572899571.0,16688576087.0,2244755.0,5971884.0,197.0,26095667.0
disk_io,128,22597544692.0,16177692414.0,2244756.0,5866639.0,198.0,25705717.0
disk_io,256,35714143115.0,25324067848.0,3473523.0,7600717.0,163.0,37062851.0
disk_io,256,35551990481.0,24874352446.0,3440754.0,8132862.0,175.0,35532094.0
disk_io,256,35626480439.0,25103103829.0,3473525.0,7618925.0,155.0,37117459.0
disk_io,512,47976517231.0,34284385198.0,4849748.0,8507433.0,129.0,40155838.0
disk_io,512,47029129444.0,35210435551.0,4915287.0,6929649.0,113.0,35212968.0
disk_io,512,24746014713.0,21388197487.0,4915287.0,7557041.0,105.0,37536364.0
disk_io,1024,58697165467.0,44046338225.0,6160442.0,7015317.0,170.0,39965045.0
disk_io,1024,58909809387.0,44619622526.0,6160442.0,6741891.0,117.0,39954345.0
disk_io,1024,59067939364.0,50776612684.0,6160444.0,7330622.0,101.0,40730830.0
matrix,128,23163883647.0,16374706698.0,2244756.0,5790881.0,184.0,26735789.0
matrix,128,23421051355.0,16468328256.0,2244756.0,5911884.0,190.0,25485518.0
matrix,128,23619248901.0,17331218569.0,2244757.0,6031877.0,186.0,26686264.0
matrix,256,34550241600.0,25467571658.0,3506293.0,5929978.0,185.0,31867922.0
matrix,256,35158372332.0,25182314576.0,3506292.0,6388995.0,164.0,29768368.0
matrix,256,35353583333.0,25382600542.0,3506293.0,6657427.0,169.0,34434353.0
matrix,512,48145388468.0,34312449230.0,4849747.0,7990105.0,139.0,37995686.0
matrix,512,47904523873.0,34706433422.0,4849748.0,7781983.0,126.0,38744927.0
matrix,512,48164618668.0,34618651763.0,4849748.0,8005786.0,130.0,39530836.0
matrix,1024,58158744221.0,67742592665.0,6160442.0,7060960.0,116.0,37783580.0
matrix,1024,57988345981.0,43491132955.0,6160443.0,7252154.0,114.0,39831618.0
matrix,1024,58246417611.0,42785133252.0,6029371.0,8240624.0,105.0,41235075.0
memory_touch,128,23792222858.0,16669894631.0,2244756.0,6159242.0,205.0,27011910.0
memory_touch,128,23746652101.0,17068754526.0,2244756.0,6097904.0,206.0,25475290.0
memory_touch,128,23847793017.0,16555739499.0,2244756.0,6069850.0,201.0,25563528.0
memory_touch,256,36087543902.0,24746337283.0,3440755.0,8895803.0,168.0,36573522.0
memory_touch,256,36350881180.0,25801593149.0,3342448.0,9791861.0,190.0,37756007.0
memory_touch,256,35583168305.0,25415106017.0,3440756.0,8326235.0,195.0,34688187.0
memory_touch,512,48693212579.0,33761731478.0,4587600.0,14065189.0,158.0,54115586.0
memory_touch,512,49877420581.0,34603999257.0,4653138.0,13989072.0,100.0,54076625.0
memory_touch,512,49160580739.0,33363883360.0,4653139.0,14132479.0,144.0,55279893.0
memory_touch,1024,57704057889.0,41375714853.0,5767225.0,13183956.0,113.0,53466985.0
memory_touch,1024,58666689806.0,43758170511.0,6160444.0,7180418.0,118.0,38843474.0
memory_touch,1024,58469906062.0,42439487963.0,6029371.0,9573189.0,113.0,45011510.0
