platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules,display_name,suite,workload_type,partition,resource_profile,resource_profile_index,resource_profile_label,plot_workload_name,omp_threads,benchmark_name,input_profile,package_name,build_config,target_seconds,target_iterations,work_mode,elapsed_seconds,iterations_completed,command_runs,cpu_limit,idle_gap_ms,run_index,launch_overhead_ms,cpu_user_time_ms,cpu_system_time_ms,cpu_util_pct,cpu_nr_periods,cpu_nr_throttled,cpu_throttled_ms,cpu_throttled_pct,memory_current_mb,memory_peak_mb,memory_avg_mb,memory_util_pct,memory_peak_util_pct,memory_avg_util_pct,memory_max_events,memory_high_events,memory_oom_events,memory_oom_kill_events,cpu_pressure_some_avg10,cpu_pressure_full_avg10,memory_pressure_some_avg10,memory_pressure_full_avg10,queue_length,queue_signal_available,monitor_sample_count,instrumentation_mode,rapl_wrapped,window_index,window_start_ms,window_end_ms,sample_kind,service_time_ms,throughput_ops_per_s
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,186.585764400661,0.0,9.91015625,10.6953125,0,0,0.0,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,0.0,0.0,0.0,0,0,0.0,0.0,9.91015625,10.6953125,9.91015625,0.9677886962890625,1.044464111328125,0.9677886962890625,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,1,0.0,186.585764400661,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.4835445433855,272.952,47.55859375,47.55859375,0,0,3.915213602354697,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,150.0,70.0,108.9700325414881,3,2,72.655,29.005897426294062,47.55859375,47.55859375,28.734375,4.6443939208984375,4.6443939208984375,2.80609130859375,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,2,186.585764400661,437.0693089440465,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.4415027797222,240.906,65.7109375,91.53515625,0,126976,5.927840207522537,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,160.0,60.0,96.19252293494293,2,2,232.873,92.98498747822372,65.7109375,91.53515625,56.634765625,6.417083740234375,8.938980102539062,5.530738830566406,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,3,437.0693089440465,687.5108117237687,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.54595805704594,257.046,68.48828125,91.53515625,0,155648,5.603774497858542,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,180.0,90.0,102.59435114953006,3,3,531.95,212.31633674125456,68.48828125,91.53515625,67.099609375,6.6883087158203125,8.938980102539062,6.552696228027344,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,4,687.5108117237687,938.0567697808146,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.34881865233183,235.556,8.6015625,91.765625,0,155648,2.2171435607522616,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,190.0,20.0,93.71677227806008,2,2,296.334,117.89751055480077,8.6015625,91.765625,38.544921875,0.839996337890625,8.96148681640625,3.7641525268554688,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,5,938.0567697808146,1189.4055884331465,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.54729466885328,301.25,91.31640625,91.765625,0,0,2.9817349563069695,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,200.0,70.0,119.75879144181508,3,3,484.537,192.6226241621336,91.31640625,91.765625,49.958984375,8.917617797851562,8.96148681640625,4.878807067871094,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,6,1189.4055884331465,1440.9528831019998,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.38079933822155,202.697,75.28515625,91.765625,0,155648,2.525771451465475,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,130.0,60.0,80.63344556689086,2,2,172.488,68.61621908041002,75.28515625,91.765625,83.30078125,7.3520660400390625,8.96148681640625,8.134841918945312,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,7,1440.9528831019998,1692.3336824402213,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.43610576540232,272.225,12.375,91.765625,0,155648,1.8333034740484797,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,220.0,40.0,108.700380549364,3,3,848.958,338.9918547908052,12.375,91.765625,43.830078125,1.20849609375,8.96148681640625,4.280281066894531,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,8,1692.3336824402213,1942.7697882056236,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.2705447152257,216.576,91.12890625,91.7734375,0,0,4.97534225755871,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,170.0,30.0,86.19235503526833,2,2,115.328,45.89793846736215,91.12890625,91.7734375,51.751953125,8.899307250976562,8.962249755859375,5.053901672363281,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,9,1942.7697882056236,2194.0403329208493,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.57988537102938,299.337,91.953125,92.06640625,0,155648,3.302898044398791,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,220.0,40.0,118.98288273664588,3,3,269.116,106.97039614399553,91.953125,92.06640625,91.541015625,8.97979736328125,8.990859985351562,8.939552307128906,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,10,2194.0403329208493,2445.6202182918787,telemetry_window,312.08122145269334,3.2042940467393177
